"code","name"
NO,North American Bus Industries (NABI)
NB,Nova Bus Corporation
OS,ODES
OD,Oakland
OE,Oldsmobile
OA,Omega
ON,Ontario Bus
OL,Opel
OR,Orion Bus
OC,Osca
OO,Oshkosh Motor Truck Co.
OT,Ottawa
OU,Oubike
PD,Packard
PE,Paige
PA,Panhard
PV,Panoramic RV
PZ,Panoz
PR,Panther
PS,Peerless
PO,Pegaso
PT,Peterbilt
PU,Peugeot
PX,Phoenix
PI,Piaggio
PC,Pierce Mfg. Inc.
PW,Pierce-Arrow
PY,Pleasure-Way
PH,Plymouth
PL,Polaris
PR10,Polestar
PN,Polini
PC10,Pontiac
PE10,Porsche
PT10,Prevost
PA10,Proterra
QE,Qvale
RN,R-Vision
RM,Ram
RR,Rambler
RS,Redcat Motors
RE,Redline
RV,Regency RV
RT,Reliant
RA,Renault
RG,Renegade
RO,Reo
RI,Rickenbacker
RY,Riley
RN10,Rivian
RL,Roadmaster Rail
RK,Roadtrek
RR10,Roamer
RC,Rockne
RN11,Rollin
RE10,Rolls Royce
RT10,Roosevelt
RB,Rosenbauer America
RR11,Rover
RD,Royal Enfield
RP,Rupp
SG,SDG
ST,SRT
SL,SUNL
SM,SYM
SB,Saab
SA,Sabra
SI,Safari
SN,Saleen
SAN,Salmson
SN0,Saturn
SE,Savage
SCA,Scania
SCN,Scion
SN1,Scorpion
SH,Scripps Booth
SO,Sea-Doo
SS,Seagrave Fire Apparatus
SET,Seat
SY,Shelby
SHO,Sherco
SHN,Sheridan
SIA,Siata
SA0,Simca
SR,Singer
SKO,Ski-Doo
SKA,Skoda
SMT,Smart
SNT,Sno-Jet
SPS,Spartan Motors
SPR,Spyker
SSG,SsangYong
SD,Standard
STI,Stanguellini
STR,Star
STT,Stearns Knight
STG,Sterling
SK,Sterling Truck
STA,Stevens-Duryea
STN,Stewart & Stevenson
STD,Storyteller Overland
SR0,Studebaker
SZ,Stutz
SU,Subaru
SUM,Sunbeam
S.,Sutphen Corp.
SUI,Suzuki
SW,Swallow
TB,TGB
TM,TM
TR,TVR
TS,TVS
TO,Talbot-Lago
TA,Tatra
TES,Temsa Bus
TE,Terex / Terex Advance
TEA,Tesla
TN,Textron
TK,Think
THS,Thomas
TH,Thor Motor Coach
TIN,Tiffin
TIK,TigerShark
TOO,Torino
TT,Toyopet
TOA,Toyota
TRR,Tracker
T.,Transportation Mfg Corp.
TRK,Treck
TRH,Triumph
TUR,Tucker
TR0,Turner
UK,U/K
UZ,UAZ
UD,UD
UG,Unimog
UR,Utilimaster
VR,VOR
VG,VPG
VL,VUHL
VM,Vam
VAL,Van Hool
VL0,Vauxhall
VE,Velie
VI,Veloci
VO,Vento
VA,Vespa
VY,Victory
VIG,Viking
VT,VinFast
VN,Volkswagen
VOO,Volvo
WG,Wartburg
WT,Westcott
WV,Western RV
WR,Western Star
WET,Wet Jet
WHT,Whippet
WE,White
WC,White/GMC
WS,Willys
WIR,Windsor
WO,Winnebago
WY,Wolseley
WOE,Workhorse
WOS,Workhorse Custom Chassis
XS,Xos
YA,Yamaha
YB,Yellow Cab
YO,Yugo
ZO,ZERO
ZA,Zacua
ZN,Zeligson
ZP,Zundapp
