"code","name"
"FN","Jowett"
"OE","KINGWAY MX"
"IZ","KTM"
"BF","KYMCO"
"D1","Kaiser"
"KH","Kalmar"
"MC","Karma"
"IY","Kasea"
"BC","Kawasaki"
"MQ","Keeway"
"BD","Kenworth"
"BE","Kia"
"L6","Kimble Chassis"
"HQ","Kissel"
"LD","Kovatch"
"IG","Kubota"
"FB","Kurtis"
"I1","LEM"
"EI","LaSalle"
"DQ","Lada"
"C0","Laforza"
"DZ","Lagonda"
"BG","Lamborghini"
"FO","Lanchester"
"C1","Lancia"
"BH","Land Rover"
"FP","Lea-Francis"
"NO","Leisure Travel"
"LJ","Les Autobus MCI"
"HR","Lexington"
"BI","Lexus"
"BJ","Lincoln"
"MR","Lion"
"GE","Lloyd"
"EV","Locomobile"
"LE","Lodal"
"NT","Lordstown Motors"
"BK","Lotus"
"MX","Lucid"
"MW","Lynx"
"L7","MAN"
"MF","MASA"
"BS","MG"
"I4","MV Agusta"
"FD","Mack"
"MD","Mahindra"
"GA","Maico"
"F3","Marathon"
"JI","Marauder"
"G1","Marcos"
"ER","Marmon"
"K7","Marmon Herrington"
"HS","Marquette"
"BL","Maserati"
"BM","Mastretta"
"GY","Matra"
"LP","Maxim"
"HT","Maxwell"
"BN","Maybach"
"BO","Mazda"
"BP","McLaren"
"BQ","Mercedes-Benz"
"BR","Mercury"
"DH","Merkur"
"GB","Messerschmitt"
"F7","Metropolitan"
"BT","Mini"
"BU","Mitsubishi"
"FF","Mitsubishi Fuso"
"LS","Mobility Ventures"
"MY","Monaco Coach"
"GZ","Monteverdi"
"HU","Moon"
"FQ","Moretti"
"C3","Morgan"
"DM","Morris"
"GF","Moskvich"
"I2","Moto Guzzi"
"I3","Moto-Ski"
"KT","Motor Coach Industries"
"E7","NSU"
"GM","Nardi"
"DY","Nash"
"NV","National RV"
"KY","Neoplan"
"KU","New Flyer"
"LZ","New Holland"
"NP","Newmar"
"NQ","Nexus"
"BV","Nissan"
"LQ","North American Bus Industries (NABI)"
"KL","Nova Bus Corporation"
"L1","ODES"
"EU","Oakland"
"BW","Oldsmobile"
"JJ","Omega"
"KC","Ontario Bus"
"BX","Opel"
"KD","Orion Bus"
"GU","Osca"
"J4","Oshkosh Motor Truck Co."
"KE","Ottawa"
"OI","Oubike"
"DX","Packard"
"HV","Paige"
"F8","Panhard"
"N8","Panoramic RV"
"DF","Panoz"
"JK","Panther"
"GN","Peerless"
"FY","Pegaso"
"G2","Peterbilt"
"BY","Peugeot"
"N9","Phoenix"
"BZ","Piaggio"
"KN","Pierce Mfg. Inc."
"EK","Pierce-Arrow"
"NR","Pleasure-Way"
"B1","Plymouth"
"B2","Polaris"
"MN","Polestar"
"JQ","Polini"
"B3","Pontiac"
"B4","Porsche"
"LB","Prevost"
"MB","Proterra"
"DD","Qvale"
"NX","R-Vision"
"B5","Ram"
"CT","Rambler"
"JO","Redcat Motors"
"JU","Redline"
"OA","Regency RV"
"F1","Reliant"
"B6","Renault"
"NZ","Renegade"
"EN","Reo"
"HW","Rickenbacker"
"FR","Riley"
"MU","Rivian"
"KF","Roadmaster Rail"
"NW","Roadtrek"
"HX","Roamer"
"HY","Rockne"
"HZ","Rollin"
"DL","Rolls Royce"
"H1","Roosevelt"
"NH","Rosenbauer America"
"B7","Rover"
"MH","Royal Enfield"
"I5","Rupp"
"I6","SDG"
"CA","SRT"
"OF","SUNL"
"OG","SYM"
"B8","Saab"
"GQ","Sabra"
"N0","Safari"
"DA","Saleen"
"FZ","Salmson"
"CP","Saturn"
"L2","Savage"
"L8","Scania"
"CS","Scion"
"JY","Scorpion"
"H2","Scripps Booth"
"I7","Sea-Doo"
"KV","Seagrave Fire Apparatus"
"B9","Seat"
"DB","Shelby"
"MV","Sherco"
"H3","Sheridan"
"FS","Siata"
"DT","Simca"
"FT","Singer"
"I8","Ski-Doo"
"FU","Skoda"
"B0","Smart"
"JZ","Sno-Jet"
"K9","Spartan Motors"
"MG","Spyker"
"CB","SsangYong"
"FV","Standard"
"DW","Stanguellini"
"H4","Star"
"H5","Stearns Knight"
"DI","Sterling"
"J5","Sterling Truck"
"EY","Stevens-Duryea"
"LM","Stewart & Stevenson"
"OL","Storyteller Overland"
"DN","Studebaker"
"EP","Stutz"
"CC","Subaru"
"DO","Sunbeam"
"K8","Sutphen Corp."
"CD","Suzuki"
"F9","Swallow"
"JP","TGB"
"I0","TM"
"E8","TVR"
"OH","TVS"
"DV","Talbot-Lago"
"FW","Tatra"
"MA","Temsa Bus"
"K4","Terex / Terex Advance"
"CE","Tesla"
"L9","Textron"
"LR","Think"
"LF","Thomas"
"NS","Thor Motor Coach"
"MP","Tiffin"
"I9","TigerShark"
"OM","Torino"
"E3","Toyopet"
"CF","Toyota"
"M1","Tracker"
"KW","Transportation Mfg Corp."
"OJ","Treck"
"C4","Triumph"
"ED","Tucker"
"GR","Turner"
"CU","U/K"
"MI","UAZ"
"FE","UD"
"KI","Unimog"
"L5","Utilimaster"
"JB","VOR"
"JN","VPG"
"CM","VUHL"
"CG","Vam"
"KM","Van Hool"
"DU","Vauxhall"
"H6","Velie"
"ON","Veloci"
"CH","Vento"
"GO","Vespa"
"JA","Victory"
"H7","Viking"
"N1","VinFast"
"CI","Volkswagen"
